n,tempo_segundos
1000,0.174000
2000,0.155000
3000,0.152000
4000,0.146000
5000,0.145000
6000,0.152000
7000,0.153000
8000,0.155000
9000,0.158000
10000,0.157000
11000,0.165000
12000,0.167000
13000,0.166000
14000,0.162000
15000,0.169000
16000,0.159000
17000,0.164000
18000,0.169000
19000,0.168000
20000,0.164000
21000,0.164000
22000,0.169000
23000,0.167000
24000,0.161000
25000,0.162000
26000,0.163000
27000,0.162000
28000,0.166000
29000,0.164000
30000,0.161000
31000,0.164000
32000,0.160000
33000,0.163000
34000,0.164000
35000,0.168000
36000,0.164000
37000,0.167000
38000,0.164000
39000,0.161000
40000,0.166000
41000,0.172000
42000,0.163000
43000,0.160000
44000,0.162000
45000,0.162000
46000,0.157000
47000,0.160000
48000,0.171000
49000,0.168000
50000,0.161000
51000,0.161000
52000,0.162000
53000,0.163000
54000,0.158000
55000,0.160000
56000,0.174000
57000,0.160000
58000,0.157000
59000,0.159000
60000,0.160000
61000,0.161000
62000,0.160000
63000,0.168000
64000,0.160000
65000,0.165000
66000,0.164000
67000,0.168000
68000,0.166000
69000,0.159000
70000,0.159000
71000,0.160000
72000,0.159000
73000,0.158000
74000,0.158000
75000,0.157000
76000,0.157000
77000,0.160000
78000,0.154000
79000,0.158000
80000,0.159000
81000,0.159000
82000,0.156000
83000,0.155000
84000,0.162000
85000,0.161000
86000,0.161000
87000,0.158000
88000,0.159000
89000,0.158000
90000,0.162000
91000,0.157000
92000,0.162000
93000,0.156000
94000,0.160000
95000,0.156000
96000,0.158000
97000,0.160000
98000,0.158000
99000,0.158000
100000,0.159000
101000,0.155000
102000,0.157000
103000,0.156000
104000,0.153000
105000,0.155000
106000,0.157000
107000,0.157000
108000,0.155000
109000,0.163000
110000,0.159000
111000,0.164000
112000,0.158000
113000,0.154000
114000,0.154000
115000,0.159000
116000,0.156000
117000,0.159000
118000,0.155000
119000,0.153000
120000,0.155000
121000,0.154000
122000,0.154000
123000,0.160000
124000,0.155000
125000,0.158000
126000,0.156000
127000,0.159000
128000,0.154000
129000,0.156000
130000,0.151000
131000,0.169000
132000,0.156000
133000,0.157000
134000,0.150000
135000,0.161000
136000,0.157000
137000,0.157000
138000,0.154000
139000,0.158000
140000,0.156000
141000,0.155000
142000,0.157000
143000,0.155000
144000,0.164000
145000,0.165000
146000,0.156000
147000,0.156000
148000,0.163000
149000,0.159000
150000,0.155000
151000,0.155000
152000,0.156000
153000,0.152000
154000,0.152000
155000,0.157000
156000,0.157000
157000,0.154000
158000,0.155000
159000,0.153000
160000,0.158000
161000,0.155000
162000,0.154000
163000,0.159000
164000,0.154000
165000,0.158000
166000,0.154000
167000,0.151000
168000,0.160000
169000,0.153000
170000,0.156000
171000,0.151000
172000,0.154000
173000,0.151000
174000,0.165000
175000,0.155000
176000,0.162000
177000,0.153000
178000,0.155000
179000,0.156000
180000,0.153000
181000,0.158000
182000,0.155000
183000,0.159000
184000,0.163000
185000,0.156000
186000,0.152000
187000,0.172000
188000,0.185000
189000,0.166000
190000,0.158000
191000,0.152000
192000,0.157000
193000,0.158000
194000,0.157000
195000,0.156000
196000,0.156000
197000,0.154000
198000,0.159000
199000,0.154000
200000,0.156000
201000,0.154000
202000,0.165000
203000,0.157000
204000,0.156000
205000,0.156000
206000,0.159000
207000,0.155000
208000,0.154000
209000,0.154000
210000,0.159000
211000,0.163000
212000,0.160000
213000,0.157000
214000,0.159000
215000,0.153000
216000,0.155000
217000,0.160000
218000,0.153000
219000,0.165000
220000,0.161000
221000,0.151000
222000,0.157000
223000,0.156000
224000,0.154000
225000,0.161000
226000,0.154000
227000,0.154000
228000,0.159000
229000,0.159000
230000,0.157000
231000,0.157000
232000,0.151000
233000,0.154000
234000,0.170000
235000,0.158000
236000,0.156000
237000,0.161000
238000,0.162000
239000,0.159000
240000,0.162000
241000,0.159000
242000,0.159000
243000,0.157000
244000,0.160000
245000,0.159000
246000,0.161000
247000,0.157000
248000,0.155000
249000,0.158000
250000,0.171000
251000,0.172000
252000,0.158000
253000,0.161000
254000,0.168000
255000,0.158000
256000,0.153000
257000,0.160000
258000,0.161000
259000,0.157000
260000,0.157000
261000,0.156000
262000,0.159000
263000,0.164000
264000,0.152000
265000,0.153000
266000,0.199000
267000,0.166000
268000,0.166000
269000,0.158000
270000,0.156000
271000,0.159000
272000,0.162000
273000,0.155000
274000,0.159000
275000,0.167000
276000,0.155000
277000,0.154000
278000,0.152000
279000,0.158000
280000,0.160000
281000,0.158000
282000,0.161000
283000,0.164000
284000,0.154000
285000,0.160000
286000,0.160000
287000,0.154000
288000,0.163000
289000,0.158000
290000,0.155000
291000,0.152000
292000,0.164000
293000,0.155000
294000,0.153000
295000,0.162000
296000,0.159000
297000,0.155000
298000,0.157000
299000,0.164000
300000,0.170000
301000,0.151000
302000,0.154000
303000,0.155000
304000,0.155000
305000,0.164000
306000,0.163000
307000,0.157000
308000,0.157000
309000,0.160000
310000,0.156000
311000,0.157000
312000,0.160000
313000,0.157000
314000,0.153000
315000,0.163000
316000,0.152000
317000,0.161000
318000,0.157000
319000,0.158000
320000,0.163000
321000,0.159000
322000,0.151000
323000,0.151000
324000,0.156000
325000,0.159000
326000,0.157000
327000,0.150000
328000,0.160000
329000,0.154000
330000,0.157000
331000,0.165000
332000,0.161000
333000,0.159000
334000,0.160000
335000,0.158000
336000,0.159000
337000,0.158000
338000,0.166000
339000,0.153000
340000,0.157000
341000,0.158000
342000,0.155000
343000,0.160000
344000,0.155000
345000,0.156000
346000,0.152000
347000,0.162000
348000,0.157000
349000,0.159000
350000,0.163000
351000,0.167000
352000,0.164000
353000,0.161000
354000,0.167000
355000,0.152000
356000,0.156000
357000,0.156000
358000,0.156000
359000,0.161000
360000,0.170000
361000,0.154000
362000,0.156000
363000,0.174000
364000,0.183000
365000,0.155000
366000,0.160000
367000,0.156000
368000,0.156000
369000,0.152000
370000,0.179000
371000,0.164000
372000,0.162000
373000,0.160000
374000,0.158000
375000,0.159000
376000,0.163000
377000,0.162000
378000,0.153000
379000,0.158000
380000,0.158000
381000,0.157000
382000,0.164000
383000,0.160000
384000,0.155000
385000,0.163000
386000,0.158000
387000,0.157000
388000,0.167000
389000,0.158000
390000,0.159000
391000,0.160000
392000,0.168000
393000,0.157000
394000,0.156000
395000,0.164000
396000,0.159000
397000,0.156000
398000,0.162000
399000,0.169000
400000,0.165000
401000,0.159000
402000,0.164000
403000,0.154000
404000,0.160000
405000,0.181000
406000,0.162000
407000,0.161000
408000,0.162000
409000,0.167000
410000,0.186000
411000,0.170000
412000,0.163000
413000,0.160000
414000,0.179000
415000,0.178000
416000,0.186000
417000,0.180000
418000,0.152000
419000,0.169000
420000,0.216000
421000,0.190000
422000,0.171000
423000,0.159000
424000,0.172000
425000,0.165000
426000,0.154000
427000,0.163000
428000,0.154000
429000,0.158000
430000,0.167000
431000,0.178000
432000,0.172000
433000,0.159000
434000,0.159000
435000,0.168000
436000,0.171000
437000,0.179000
438000,0.183000
439000,0.194000
440000,0.187000
441000,0.175000
442000,0.167000
443000,0.167000
444000,0.174000
445000,0.183000
446000,0.162000
447000,0.162000
448000,0.168000
449000,0.166000
450000,0.159000
451000,0.164000
452000,0.163000
453000,0.163000
454000,0.160000
455000,0.177000
456000,0.169000
457000,0.184000
458000,0.164000
459000,0.164000
460000,0.161000
461000,0.168000
462000,0.161000
463000,0.161000
464000,0.162000
465000,0.164000
466000,0.161000
467000,0.160000
468000,0.163000
469000,0.162000
470000,0.198000
471000,0.191000
472000,0.195000
473000,0.169000
474000,0.179000
475000,0.166000
476000,0.160000
477000,0.161000
478000,0.163000
479000,0.160000
480000,0.160000
481000,0.163000
482000,0.161000
483000,0.172000
484000,0.164000
485000,0.177000
486000,0.173000
487000,0.165000
488000,0.164000
489000,0.158000
490000,0.166000
491000,0.166000
492000,0.160000
493000,0.168000
494000,0.164000
495000,0.162000
496000,0.166000
497000,0.168000
498000,0.179000
499000,0.184000
500000,0.187000
501000,0.160000
502000,0.160000
503000,0.164000
504000,0.170000
505000,0.167000
506000,0.168000
507000,0.167000
508000,0.169000
509000,0.183000
510000,0.210000
511000,0.226000
512000,0.181000
513000,0.179000
514000,0.173000
515000,0.181000
516000,0.183000
517000,0.187000
518000,0.176000
519000,0.184000
520000,0.187000
521000,0.199000
522000,0.188000
523000,0.181000
524000,0.172000
525000,0.175000
526000,0.198000
527000,0.174000
528000,0.172000
529000,0.169000
530000,0.155000
531000,0.165000
532000,0.158000
533000,0.154000
534000,0.189000
535000,0.172000
536000,0.167000
537000,0.164000
538000,0.161000
539000,0.161000
540000,0.170000
541000,0.159000
542000,0.161000
543000,0.164000
544000,0.184000
545000,0.165000
546000,0.164000
547000,0.161000
548000,0.160000
549000,0.179000
550000,0.162000
551000,0.194000
552000,0.181000
553000,0.163000
554000,0.164000
555000,0.164000
556000,0.163000
557000,0.192000
558000,0.173000
559000,0.158000
560000,0.159000
561000,0.166000
562000,0.167000
563000,0.167000
564000,0.161000
565000,0.161000
566000,0.160000
567000,0.166000
568000,0.164000
569000,0.158000
570000,0.161000
571000,0.157000
572000,0.162000
573000,0.158000
574000,0.164000
575000,0.160000
576000,0.178000
577000,0.180000
578000,0.165000
579000,0.162000
580000,0.158000
581000,0.167000
582000,0.170000
583000,0.158000
584000,0.162000
585000,0.159000
586000,0.158000
587000,0.169000
588000,0.206000
589000,0.169000
590000,0.162000
591000,0.182000
592000,0.168000
593000,0.168000
594000,0.183000
595000,0.161000
596000,0.164000
597000,0.168000
598000,0.193000
599000,0.161000
600000,0.173000
601000,0.171000
602000,0.160000
603000,0.168000
604000,0.167000
605000,0.166000
606000,0.160000
607000,0.165000
608000,0.164000
609000,0.165000
610000,0.164000
611000,0.171000
612000,0.166000
613000,0.168000
614000,0.162000
615000,0.178000
616000,0.165000
617000,0.176000
618000,0.160000
619000,0.163000
620000,0.174000
621000,0.167000
622000,0.174000
623000,0.170000
624000,0.180000
625000,0.183000
626000,0.185000
627000,0.196000
628000,0.165000
629000,0.164000
630000,0.194000
631000,0.192000
632000,0.165000
633000,0.169000
634000,0.175000
635000,0.196000
636000,0.172000
637000,0.157000
638000,0.164000
639000,0.175000
640000,0.199000
641000,0.169000
642000,0.180000
643000,0.170000
644000,0.169000
645000,0.164000
646000,0.171000
647000,0.163000
648000,0.162000
649000,0.170000
650000,0.189000
651000,0.184000
652000,0.174000
653000,0.169000
654000,0.173000
655000,0.167000
656000,0.173000
657000,0.172000
658000,0.174000
659000,0.178000
660000,0.171000
661000,0.162000
662000,0.161000
663000,0.177000
664000,0.170000
665000,0.176000
666000,0.164000
667000,0.165000
668000,0.158000
669000,0.167000
670000,0.166000
671000,0.161000
672000,0.170000
673000,0.163000
674000,0.165000
675000,0.169000
676000,0.165000
677000,0.162000
678000,0.165000
679000,0.162000
680000,0.162000
681000,0.161000
682000,0.165000
683000,0.165000
684000,0.159000
685000,0.161000
686000,0.166000
687000,0.171000
688000,0.178000
689000,0.167000
690000,0.169000
691000,0.165000
692000,0.160000
693000,0.161000
694000,0.170000
695000,0.173000
696000,0.157000
697000,0.163000
698000,0.163000
699000,0.159000
700000,0.163000
701000,0.167000
702000,0.165000
703000,0.170000
704000,0.161000
705000,0.162000
706000,0.171000
707000,0.170000
708000,0.159000
709000,0.166000
710000,0.167000
711000,0.160000
712000,0.169000
713000,0.177000
714000,0.164000
715000,0.165000
716000,0.168000
717000,0.167000
718000,0.180000
719000,0.170000
720000,0.158000
721000,0.171000
722000,0.162000
723000,0.182000
724000,0.169000
725000,0.166000
726000,0.167000
727000,0.163000
728000,0.171000
729000,0.170000
730000,0.166000
731000,0.161000
732000,0.164000
733000,0.210000
734000,0.166000
735000,0.168000
736000,0.183000
737000,0.163000
738000,0.168000
739000,0.168000
740000,0.171000
741000,0.161000
742000,0.171000
743000,0.173000
744000,0.164000
745000,0.166000
746000,0.161000
747000,0.168000
748000,0.167000
749000,0.164000
750000,0.167000
751000,0.160000
752000,0.163000
753000,0.162000
754000,0.165000
