n,tempo_segundos
1000,0.000000
2000,0.000000
3000,0.001000
4000,0.000000
5000,0.000000
6000,0.000000
7000,0.001000
8000,0.001000
9000,0.002000
10000,0.002000
11000,0.001000
12000,0.001000
13000,0.000000
14000,0.001000
15000,0.001000
16000,0.000000
17000,0.003000
18000,0.001000
19000,0.001000
20000,0.001000
21000,0.002000
22000,0.001000
23000,0.002000
24000,0.001000
25000,0.003000
26000,0.001000
27000,0.001000
28000,0.002000
29000,0.002000
30000,0.002000
31000,0.002000
32000,0.003000
33000,0.002000
34000,0.002000
35000,0.003000
36000,0.003000
37000,0.001000
38000,0.003000
39000,0.002000
40000,0.002000
41000,0.002000
42000,0.003000
43000,0.002000
44000,0.004000
45000,0.002000
46000,0.004000
47000,0.002000
48000,0.002000
49000,0.005000
50000,0.003000
51000,0.003000
52000,0.003000
53000,0.004000
54000,0.003000
55000,0.003000
56000,0.003000
57000,0.003000
58000,0.005000
59000,0.004000
60000,0.005000
61000,0.004000
62000,0.004000
63000,0.003000
64000,0.004000
65000,0.005000
66000,0.005000
67000,0.005000
68000,0.004000
69000,0.005000
70000,0.004000
71000,0.004000
72000,0.004000
73000,0.007000
74000,0.006000
75000,0.006000
76000,0.005000
77000,0.005000
78000,0.004000
79000,0.005000
80000,0.007000
81000,0.005000
82000,0.007000
83000,0.005000
84000,0.006000
85000,0.006000
86000,0.006000
87000,0.005000
88000,0.006000
89000,0.006000
90000,0.006000
91000,0.007000
92000,0.007000
93000,0.006000
94000,0.006000
95000,0.007000
96000,0.007000
97000,0.006000
98000,0.007000
99000,0.006000
100000,0.007000
101000,0.006000
102000,0.007000
103000,0.006000
104000,0.007000
105000,0.006000
106000,0.008000
107000,0.007000
108000,0.007000
109000,0.008000
110000,0.006000
111000,0.010000
112000,0.010000
113000,0.008000
114000,0.007000
115000,0.008000
116000,0.009000
117000,0.009000
118000,0.009000
119000,0.008000
120000,0.008000
121000,0.008000
122000,0.009000
123000,0.008000
124000,0.008000
125000,0.008000
126000,0.008000
127000,0.009000
128000,0.010000
129000,0.008000
130000,0.011000
131000,0.009000
132000,0.009000
133000,0.008000
134000,0.008000
135000,0.009000
136000,0.009000
137000,0.008000
138000,0.011000
139000,0.010000
140000,0.008000
141000,0.010000
142000,0.009000
143000,0.011000
144000,0.010000
145000,0.009000
146000,0.011000
147000,0.010000
148000,0.010000
149000,0.010000
150000,0.010000
151000,0.011000
152000,0.010000
153000,0.010000
154000,0.010000
155000,0.011000
156000,0.011000
157000,0.011000
158000,0.012000
159000,0.010000
160000,0.012000
161000,0.011000
162000,0.012000
163000,0.012000
164000,0.011000
165000,0.011000
166000,0.011000
167000,0.010000
168000,0.010000
169000,0.012000
170000,0.011000
171000,0.013000
172000,0.011000
173000,0.013000
174000,0.014000
175000,0.012000
176000,0.015000
177000,0.013000
178000,0.014000
179000,0.013000
180000,0.012000
181000,0.013000
182000,0.013000
183000,0.012000
184000,0.014000
185000,0.014000
186000,0.013000
187000,0.013000
188000,0.013000
189000,0.013000
190000,0.012000
191000,0.014000
192000,0.012000
193000,0.014000
194000,0.014000
195000,0.014000
196000,0.015000
197000,0.013000
198000,0.014000
199000,0.014000
200000,0.014000
201000,0.015000
202000,0.014000
203000,0.015000
204000,0.014000
