n,tempo_segundos
1000,0.000000
2000,0.000000
3000,0.000000
4000,0.000000
5000,0.000000
6000,0.000000
7000,0.000000
8000,0.000000
9000,0.000000
10000,0.001000
11000,0.001000
12000,0.000000
13000,0.001000
14000,0.000000
15000,0.001000
16000,0.001000
17000,0.001000
18000,0.001000
19000,0.001000
20000,0.001000
21000,0.001000
22000,0.001000
23000,0.002000
24000,0.001000
25000,0.002000
26000,0.001000
27000,0.001000
28000,0.001000
29000,0.003000
30000,0.001000
31000,0.002000
32000,0.002000
33000,0.001000
34000,0.002000
35000,0.002000
36000,0.002000
37000,0.002000
38000,0.002000
39000,0.002000
40000,0.002000
41000,0.002000
42000,0.003000
43000,0.002000
44000,0.002000
45000,0.001000
46000,0.003000
47000,0.003000
48000,0.002000
49000,0.002000
50000,0.003000
51000,0.002000
52000,0.003000
53000,0.003000
54000,0.003000
55000,0.002000
56000,0.003000
57000,0.004000
58000,0.003000
59000,0.004000
60000,0.003000
61000,0.004000
62000,0.003000
63000,0.004000
64000,0.005000
65000,0.003000
66000,0.004000
67000,0.004000
68000,0.004000
69000,0.004000
70000,0.004000
71000,0.004000
72000,0.004000
73000,0.004000
74000,0.003000
75000,0.005000
76000,0.004000
77000,0.005000
78000,0.004000
79000,0.005000
80000,0.005000
81000,0.004000
82000,0.005000
83000,0.004000
84000,0.005000
85000,0.004000
86000,0.006000
87000,0.005000
88000,0.005000
89000,0.005000
90000,0.004000
91000,0.005000
92000,0.005000
93000,0.004000
94000,0.006000
95000,0.004000
96000,0.006000
97000,0.005000
98000,0.005000
99000,0.006000
100000,0.005000
101000,0.005000
102000,0.006000
103000,0.006000
104000,0.005000
105000,0.006000
106000,0.005000
107000,0.005000
108000,0.006000
109000,0.005000
110000,0.006000
111000,0.006000
112000,0.007000
113000,0.006000
114000,0.008000
115000,0.005000
116000,0.007000
117000,0.005000
118000,0.006000
119000,0.007000
120000,0.007000
121000,0.006000
122000,0.006000
123000,0.006000
124000,0.006000
125000,0.007000
126000,0.006000
127000,0.007000
128000,0.007000
129000,0.007000
130000,0.008000
131000,0.007000
132000,0.006000
133000,0.008000
134000,0.008000
135000,0.008000
136000,0.007000
137000,0.008000
138000,0.007000
139000,0.009000
140000,0.007000
141000,0.008000
142000,0.008000
143000,0.008000
144000,0.008000
145000,0.007000
146000,0.007000
147000,0.008000
148000,0.008000
149000,0.008000
150000,0.007000
151000,0.008000
152000,0.008000
153000,0.009000
154000,0.008000
155000,0.009000
156000,0.009000
157000,0.009000
158000,0.008000
159000,0.009000
160000,0.009000
161000,0.010000
162000,0.010000
163000,0.009000
164000,0.010000
165000,0.009000
166000,0.009000
167000,0.010000
168000,0.009000
169000,0.010000
170000,0.009000
171000,0.009000
172000,0.008000
173000,0.010000
174000,0.010000
175000,0.010000
176000,0.009000
177000,0.011000
178000,0.009000
179000,0.010000
180000,0.010000
181000,0.010000
182000,0.010000
183000,0.010000
184000,0.010000
185000,0.010000
186000,0.009000
187000,0.011000
188000,0.010000
189000,0.010000
190000,0.012000
191000,0.010000
192000,0.010000
193000,0.011000
194000,0.010000
195000,0.010000
196000,0.011000
197000,0.010000
198000,0.012000
199000,0.012000
200000,0.010000
201000,0.011000
202000,0.011000
203000,0.012000
204000,0.011000
