n,tempo_segundos
1000,0.000000
2000,0.000000
3000,0.000000
4000,0.001000
5000,0.000000
6000,0.000000
7000,0.001000
8000,0.000000
9000,0.001000
10000,0.001000
11000,0.001000
12000,0.002000
13000,0.001000
14000,0.001000
15000,0.002000
16000,0.001000
17000,0.002000
18000,0.000000
19000,0.002000
20000,0.002000
21000,0.002000
22000,0.002000
23000,0.002000
24000,0.001000
25000,0.004000
26000,0.003000
27000,0.002000
28000,0.003000
29000,0.002000
30000,0.002000
31000,0.003000
32000,0.003000
33000,0.004000
34000,0.003000
35000,0.002000
36000,0.002000
37000,0.003000
38000,0.003000
39000,0.003000
40000,0.002000
41000,0.003000
42000,0.003000
43000,0.004000
44000,0.003000
45000,0.003000
46000,0.003000
47000,0.004000
48000,0.006000
49000,0.004000
50000,0.004000
51000,0.004000
52000,0.004000
53000,0.005000
54000,0.005000
55000,0.005000
56000,0.005000
57000,0.005000
58000,0.005000
59000,0.004000
60000,0.006000
61000,0.005000
62000,0.007000
63000,0.006000
64000,0.006000
65000,0.005000
66000,0.006000
67000,0.006000
68000,0.007000
69000,0.006000
70000,0.007000
71000,0.005000
72000,0.005000
73000,0.007000
74000,0.006000
75000,0.007000
76000,0.006000
77000,0.007000
78000,0.006000
79000,0.006000
80000,0.005000
81000,0.007000
82000,0.006000
83000,0.006000
84000,0.006000
85000,0.008000
86000,0.007000
87000,0.007000
88000,0.007000
89000,0.008000
90000,0.007000
91000,0.008000
92000,0.007000
93000,0.007000
94000,0.008000
95000,0.007000
96000,0.008000
97000,0.008000
98000,0.008000
99000,0.008000
100000,0.007000
101000,0.008000
102000,0.007000
103000,0.009000
104000,0.008000
105000,0.010000
106000,0.008000
107000,0.009000
108000,0.009000
109000,0.009000
110000,0.008000
111000,0.009000
112000,0.009000
113000,0.008000
114000,0.010000
115000,0.009000
116000,0.010000
117000,0.010000
118000,0.009000
119000,0.010000
120000,0.009000
121000,0.010000
122000,0.008000
123000,0.009000
124000,0.010000
125000,0.011000
126000,0.010000
127000,0.010000
128000,0.011000
129000,0.011000
130000,0.012000
131000,0.011000
132000,0.012000
133000,0.013000
134000,0.012000
135000,0.012000
136000,0.012000
137000,0.012000
138000,0.013000
139000,0.013000
140000,0.013000
141000,0.014000
142000,0.015000
143000,0.013000
144000,0.014000
145000,0.013000
146000,0.014000
147000,0.014000
148000,0.014000
149000,0.013000
150000,0.013000
151000,0.014000
152000,0.014000
153000,0.014000
154000,0.013000
155000,0.014000
156000,0.013000
157000,0.015000
158000,0.014000
159000,0.015000
160000,0.014000
161000,0.014000
162000,0.014000
163000,0.014000
164000,0.016000
165000,0.016000
166000,0.014000
167000,0.015000
168000,0.015000
169000,0.016000
170000,0.016000
171000,0.015000
172000,0.016000
173000,0.015000
174000,0.016000
175000,0.018000
176000,0.015000
177000,0.016000
178000,0.016000
179000,0.016000
180000,0.019000
181000,0.017000
182000,0.017000
183000,0.017000
184000,0.017000
185000,0.016000
186000,0.018000
187000,0.017000
188000,0.017000
189000,0.018000
190000,0.016000
191000,0.018000
192000,0.017000
193000,0.019000
194000,0.017000
195000,0.017000
196000,0.018000
197000,0.017000
198000,0.018000
199000,0.020000
200000,0.017000
201000,0.018000
202000,0.019000
203000,0.019000
204000,0.018000
